circuit_name,circuitId,compound,air_temp,track_temp,base_time,degradation_rate
Bahrain Grand Prix,1,SOFT,27.43167701863354,31.01180124223602,98.08131868131869,0.019802197802197486
Bahrain Grand Prix,1,SOFT,27.43167701863354,31.01180124223602,97.61404736842103,0.0007383458646616737
Bahrain Grand Prix,1,HARD,27.43167701863354,31.01180124223602,96.66298089535215,0.012668377530653223
Bahrain Grand Prix,1,SOFT,27.43167701863354,31.01180124223602,98.74330357142857,0.013917857142857416
Bahrain Grand Prix,1,SOFT,27.43167701863354,31.01180124223602,97.28779761904762,0.026453571428571413
Bahrain Grand Prix,1,HARD,27.43167701863354,31.01180124223602,96.96453156720581,0.0061693809258229
Bahrain Grand Prix,1,SOFT,27.43167701863354,31.01180124223602,99.02207492795388,0.09266954851104688
Bahrain Grand Prix,1,HARD,27.43167701863354,31.01180124223602,97.88687719298248,0.03640701754385956
Bahrain Grand Prix,1,HARD,27.43167701863354,31.01180124223602,96.81906458449527,0.021970217512548917
Bahrain Grand Prix,1,SOFT,27.43167701863354,31.01180124223602,98.08193636363636,0.16984545454545427
Bahrain Grand Prix,1,HARD,27.43167701863354,31.01180124223602,98.120175,0.02796470588235275
Bahrain Grand Prix,1,HARD,27.43167701863354,31.01180124223602,97.43974194805195,0.020934155844155804
Bahrain Grand Prix,1,SOFT,27.43167701863354,31.01180124223602,98.31975555555555,0.17268333333333363
Bahrain Grand Prix,1,HARD,27.43167701863354,31.01180124223602,98.62927499999999,0.0
Bahrain Grand Prix,1,HARD,27.43167701863354,31.01180124223602,97.24061110804547,0.032902411433616226
Bahrain Grand Prix,1,SOFT,27.43167701863354,31.01180124223602,99.43951700680272,0.042850340136053836
Bahrain Grand Prix,1,HARD,27.43167701863354,31.01180124223602,97.90284615384616,0.07125274725274694
Bahrain Grand Prix,1,HARD,27.43167701863354,31.01180124223602,97.13226194680499,0.028552643196115016
Bahrain Grand Prix,1,SOFT,27.43167701863354,31.01180124223602,98.43102222222223,0.17256666666666623
Bahrain Grand Prix,1,HARD,27.43167701863354,31.01180124223602,98.09185000000001,0.04197352941176455
Bahrain Grand Prix,1,HARD,27.43167701863354,31.01180124223602,97.43519805194806,0.012155844155843974
Bahrain Grand Prix,1,SOFT,27.43167701863354,31.01180124223602,99.5705890410959,0.11477739726027392
Bahrain Grand Prix,1,HARD,27.43167701863354,31.01180124223602,98.818275,0.053489705882353245
Bahrain Grand Prix,1,HARD,27.43167701863354,31.01180124223602,97.61995920647531,0.012619103188002637
Bahrain Grand Prix,1,HARD,27.43167701863354,31.01180124223602,98.76973626373625,0.04772087912087917
Bahrain Grand Prix,1,HARD,27.43167701863354,31.01180124223602,97.9995,0.014225274725274873
Bahrain Grand Prix,1,SOFT,27.43167701863354,31.01180124223602,95.251125,0.1627279411764706
Bahrain Grand Prix,1,SOFT,27.43167701863354,31.01180124223602,98.5725,0.1044670329670329
Bahrain Grand Prix,1,HARD,27.43167701863354,31.01180124223602,97.76492424242423,0.0428706293706296
Bahrain Grand Prix,1,SOFT,27.43167701863354,31.01180124223602,97.18355000000001,0.05590588235294131
Bahrain Grand Prix,1,HARD,27.43167701863354,31.01180124223602,98.85261538461539,0.06172747252747205
Bahrain Grand Prix,1,HARD,27.43167701863354,31.01180124223602,97.81192424242425,0.0366783216783217
Bahrain Grand Prix,1,SOFT,27.43167701863354,31.01180124223602,96.46155441176471,0.08859852941176435
Bahrain Grand Prix,1,SOFT,27.43167701863354,31.01180124223602,98.859925,0.0675897058823532
Bahrain Grand Prix,1,HARD,27.43167701863354,31.01180124223602,97.72039285714285,0.03269047619047699
Bahrain Grand Prix,1,SOFT,27.43167701863354,31.01180124223602,96.54987619047618,0.12648214285714302
Bahrain Grand Prix,1,HARD,27.43167701863354,31.01180124223602,98.38848484848484,0.09591258741258753
Bahrain Grand Prix,1,SOFT,27.43167701863354,31.01180124223602,97.55313888888888,0.06634999999999992
Bahrain Grand Prix,1,SOFT,27.43167701863354,31.01180124223602,96.46164761904762,0.16716071428571405
Bahrain Grand Prix,1,HARD,27.43167701863354,31.01180124223602,98.65253433307025,0.08013101815311797
Bahrain Grand Prix,1,HARD,27.43167701863354,31.01180124223602,97.88163440177723,0.06996720617793287
Bahrain Grand Prix,1,HARD,27.43167701863354,31.01180124223602,98.9843076923077,0.08862637362637399
Bahrain Grand Prix,1,HARD,27.43167701863354,31.01180124223602,97.24359090909091,0.09290909090909125
Bahrain Grand Prix,1,SOFT,27.43167701863354,31.01180124223602,96.3772892857143,0.12024642857142856
Bahrain Grand Prix,1,HARD,27.43167701863354,31.01180124223602,98.9505751633987,0.02733126934984543
Bahrain Grand Prix,1,SOFT,27.43167701863354,31.01180124223602,97.49737626066718,0.07066356348590634
Bahrain Grand Prix,1,HARD,27.43167701863354,31.01180124223602,99.6238,0.0
Bahrain Grand Prix,1,SOFT,27.43167701863354,31.01180124223602,98.03017857142856,0.05247619047619103
Bahrain Grand Prix,1,MEDIUM,27.43167701863354,31.01180124223602,96.68897222222223,0.31118333333333276
Bahrain Grand Prix,1,HARD,27.43167701863354,31.01180124223602,96.52428822055138,0.20806265664160523
Bahrain Grand Prix,1,SOFT,27.43167701863354,31.01180124223602,95.47057142857143,0.2172571428571428
Bahrain Grand Prix,1,SOFT,27.43167701863354,31.01180124223602,99.6405,0.08321428571428563
Bahrain Grand Prix,1,HARD,27.43167701863354,31.01180124223602,98.43046770098731,0.08580169252468296
Bahrain Grand Prix,1,HARD,27.43167701863354,31.01180124223602,96.76433333333334,0.12457142857142775
